beta,threshold,lr,d_correct,d_wrong,d_nofire,elig_decay,mean_accuracy,std_accuracy
0.75,2.5,0.1,1.0,-0.01,-0.05,0.95,0.3251496290432868,0.23974023481625847
0.75,2.5,0.1,1.0,-0.01,-0.1,0.95,0.3984877599095594,0.08858951432436528
0.75,2.5,0.1,1.0,-0.01,-0.25,0.95,0.467584939233652,0.11675425837076299
0.75,2.5,0.1,1.0,-0.25,-0.05,0.95,0.4742001551538831,0.11998032120040868
0.75,2.5,0.1,1.0,-0.25,-0.1,0.95,0.5198278343294069,0.11162665112955038
0.75,2.5,0.1,1.0,-0.25,-0.25,0.95,0.520557574848078,0.0864058443970709
0.75,2.5,0.1,1.0,-0.5,-0.05,0.95,0.29894556021786733,0.20487197680701502
0.75,2.5,0.1,1.0,-0.5,-0.1,0.95,0.4706661448135021,0.029664572057919197
0.75,2.5,0.1,1.0,-0.5,-0.25,0.95,0.4222443172789377,0.19323436517078893
0.75,2.5,0.1,2.0,-0.01,-0.05,0.95,0.5190341293722358,0.10127602412824738
0.75,2.5,0.1,2.0,-0.01,-0.1,0.95,0.41190301219067704,0.12102356298109787
0.75,2.5,0.1,2.0,-0.01,-0.25,0.95,0.4774546214899992,0.1295754122333626
0.75,2.5,0.1,2.0,-0.25,-0.05,0.95,0.34109107827151935,0.2054043130889355
0.75,2.5,0.1,2.0,-0.25,-0.1,0.95,0.4498358071167464,0.22850576062250014
0.75,2.5,0.1,2.0,-0.25,-0.25,0.95,0.38140834845063876,0.12277774588557179
0.75,2.5,0.1,2.0,-0.5,-0.05,0.95,0.46744639002441896,0.12661856921109574
0.75,2.5,0.1,2.0,-0.5,-0.1,0.95,0.548446125683477,0.06779922172330587
0.75,2.5,0.1,2.0,-0.5,-0.25,0.95,0.4950087257921162,0.09544794559757097
0.75,2.5,0.1,5.0,-0.01,-0.05,0.95,0.3753514684831332,0.17781736497159176
0.75,2.5,0.1,5.0,-0.01,-0.1,0.95,0.4427442361603736,0.12835499600544495
0.75,2.5,0.1,5.0,-0.01,-0.25,0.95,0.3737336298701961,0.1397854606424738
0.75,2.5,0.1,5.0,-0.25,-0.05,0.95,0.48873009313396876,0.11320855581203186
0.75,2.5,0.1,5.0,-0.25,-0.1,0.95,0.43226538292135375,0.12032372197780504
0.75,2.5,0.1,5.0,-0.25,-0.25,0.95,0.2820164082752711,0.0904120739036779
0.75,2.5,0.1,5.0,-0.5,-0.05,0.95,0.47519062882254903,0.12960074564968468
0.75,2.5,0.1,5.0,-0.5,-0.1,0.95,0.4785133269427213,0.11378844878162735
0.75,2.5,0.1,5.0,-0.5,-0.25,0.95,0.24756270939457786,0.14319547541588423
0.8,2.5,0.1,1.0,-0.01,-0.05,0.95,0.4982581591485557,0.22131015088186506
0.8,2.5,0.1,1.0,-0.01,-0.1,0.95,0.5271818331574758,0.16094700850020083
0.8,2.5,0.1,1.0,-0.01,-0.25,0.95,0.44393798131692686,0.21853236703137316
0.8,2.5,0.1,1.0,-0.25,-0.05,0.95,0.4290344115777251,0.12572870134705913
0.8,2.5,0.1,1.0,-0.25,-0.1,0.95,0.4190170249848982,0.0767469748765858
0.8,2.5,0.1,1.0,-0.25,-0.25,0.95,0.3602301800527483,0.12550393168448026
0.8,2.5,0.1,1.0,-0.5,-0.05,0.95,0.49438768400350624,0.10255336323703683
0.8,2.5,0.1,1.0,-0.5,-0.1,0.95,0.42751377675560115,0.20255678935844537
0.8,2.5,0.1,1.0,-0.5,-0.25,0.95,0.39446271404744654,0.0834098767990256
0.8,2.5,0.1,2.0,-0.01,-0.05,0.95,0.5096995222311096,0.036727692531013045
0.8,2.5,0.1,2.0,-0.01,-0.1,0.95,0.4817401744697065,0.1255905020243321
0.8,2.5,0.1,2.0,-0.01,-0.25,0.95,0.40933368620707755,0.20311159417369076
0.8,2.5,0.1,2.0,-0.25,-0.05,0.95,0.43406176544943065,0.13159340275513073
0.8,2.5,0.1,2.0,-0.25,-0.1,0.95,0.5013996152626088,0.1380642177153465
0.8,2.5,0.1,2.0,-0.25,-0.25,0.95,0.49576057926597644,0.09203165730113266
0.8,2.5,0.1,2.0,-0.5,-0.05,0.95,0.48630283304665634,0.08892615025163011
0.8,2.5,0.1,2.0,-0.5,-0.1,0.95,0.39392100024101556,0.06894647616474094
0.8,2.5,0.1,2.0,-0.5,-0.25,0.95,0.3422736348747826,0.15930293726824624
0.8,2.5,0.1,5.0,-0.01,-0.05,0.95,0.4195429596060688,0.06544849175415555
0.8,2.5,0.1,5.0,-0.01,-0.1,0.95,0.5543373999225334,0.1302391501426024
0.8,2.5,0.1,5.0,-0.01,-0.25,0.95,0.41256006550838,0.18230563965183302
0.8,2.5,0.1,5.0,-0.25,-0.05,0.95,0.5240617237921927,0.15485623644455876
0.8,2.5,0.1,5.0,-0.25,-0.1,0.95,0.4261143311417414,0.08040073848245559
0.8,2.5,0.1,5.0,-0.25,-0.25,0.95,0.3597389319400973,0.13093343745798255
0.8,2.5,0.1,5.0,-0.5,-0.05,0.95,0.4119242543875904,0.18068355816800927
0.8,2.5,0.1,5.0,-0.5,-0.1,0.95,0.31118957136788994,0.20065025009014692
0.8,2.5,0.1,5.0,-0.5,-0.25,0.95,0.3853992571243623,0.20411756480984805
0.85,2.5,0.1,1.0,-0.01,-0.05,0.95,0.5210724733675554,0.09576750601086112
0.85,2.5,0.1,1.0,-0.01,-0.1,0.95,0.43360926464182886,0.11243444723040331
0.85,2.5,0.1,1.0,-0.01,-0.25,0.95,0.4359553395353271,0.04758714178527513
0.85,2.5,0.1,1.0,-0.25,-0.05,0.95,0.45049016393809477,0.13280127655339322
0.85,2.5,0.1,1.0,-0.25,-0.1,0.95,0.4568430355910945,0.08096264473363787
0.85,2.5,0.1,1.0,-0.25,-0.25,0.95,0.47214763708319374,0.16269488370251406
0.85,2.5,0.1,1.0,-0.5,-0.05,0.95,0.4536283284027542,0.17435705950100502
0.85,2.5,0.1,1.0,-0.5,-0.1,0.95,0.4814146013463823,0.03430833832930665
0.85,2.5,0.1,1.0,-0.5,-0.25,0.95,0.511391351158667,0.1004375936172584
0.85,2.5,0.1,2.0,-0.01,-0.05,0.95,0.4745510128504754,0.0784670985442405
0.85,2.5,0.1,2.0,-0.01,-0.1,0.95,0.4706628437178759,0.08721230847910698
0.85,2.5,0.1,2.0,-0.01,-0.25,0.95,0.39254513207402886,0.23405488378338218
0.85,2.5,0.1,2.0,-0.25,-0.05,0.95,0.5744237861277248,0.08919641683151752
0.85,2.5,0.1,2.0,-0.25,-0.1,0.95,0.4595584129830653,0.2160457628681975
0.85,2.5,0.1,2.0,-0.25,-0.25,0.95,0.5138091369930151,0.0904492178904768
0.85,2.5,0.1,2.0,-0.5,-0.05,0.95,0.4752413873984769,0.1253669600920028
0.85,2.5,0.1,2.0,-0.5,-0.1,0.95,0.5004116154759459,0.07254083011930298
0.85,2.5,0.1,2.0,-0.5,-0.25,0.95,0.38474556977928726,0.08287573036878766
0.85,2.5,0.1,5.0,-0.01,-0.05,0.95,0.46919627330609837,0.08554122449630902
0.85,2.5,0.1,5.0,-0.01,-0.1,0.95,0.3345973342452793,0.1834213528316914
0.85,2.5,0.1,5.0,-0.01,-0.25,0.95,0.47034617105610527,0.10523374343111506
0.85,2.5,0.1,5.0,-0.25,-0.05,0.95,0.4982962310512814,0.07712779370948503
0.85,2.5,0.1,5.0,-0.25,-0.1,0.95,0.48785841966627475,0.11509678426701674
0.85,2.5,0.1,5.0,-0.25,-0.25,0.95,0.5059794986481545,0.09519794475383617
0.85,2.5,0.1,5.0,-0.5,-0.05,0.95,0.3638197469484095,0.15513149211091415
0.85,2.5,0.1,5.0,-0.5,-0.1,0.95,0.4381481191051268,0.09391799794692084
0.85,2.5,0.1,5.0,-0.5,-0.25,0.95,0.42571983817061126,0.06375300683536696
