decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,dopamine_reward,dopamine_punish,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,1,-1,0.3039011703511053,0.03949762394084709,0.31891891891891894,0.013240485096125286
128,1024,0,3,,3,2,3,32,32,32,127,stdp,1,-1,0.27633289986996096,0.03211726667159551,0.31567567567567567,0.11731597808649112
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,1,-2,0.3068920676202861,0.013725123331036423,0.39135135135135135,0.05847839280561523
128,1024,0,3,,3,2,3,32,32,32,127,stdp,1,-2,0.3505851755526658,0.09828093516042063,0.3318918918918919,0.1487655559936828
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,4,-1,0.2647594278283485,0.011060198270462897,0.32,0.05366345360428479
128,1024,0,3,,3,2,3,32,32,32,127,stdp,4,-1,0.3016905071521457,0.05524286188833927,0.2562162162162162,0.08839779933733895
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,4,-2,0.2895968790637191,0.006689113731917656,0.27135135135135136,0.03640531511455727
128,1024,0,3,,3,2,3,32,32,32,127,stdp,4,-2,0.3189856957087126,0.03897614330748615,0.4097297297297297,0.12151466768712228
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,1,-1,0.3028608582574773,0.0105836098566324,0.2886486486486487,0.009424646364412268
128,1024,0,3,,3,2,3,32,32,32,255,stdp,1,-1,0.35357607282184655,0.04471791850443087,0.3816216216216216,0.08652701752978915
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,1,-2,0.29453836150845253,0.0,0.34054054054054056,0.0
128,1024,0,3,,3,2,3,32,32,32,255,stdp,1,-2,0.33745123537061117,0.04260043092149554,0.31891891891891894,0.12434782386603772
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,4,-1,0.264369310793238,0.020385870421082374,0.2972972972972973,0.0
128,1024,0,3,,3,2,3,32,32,32,255,stdp,4,-1,0.2806241872561769,0.021437119412218326,0.27783783783783783,0.004324324324324324
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,4,-2,0.2672301690507152,0.0,0.3027027027027027,0.0
128,1024,0,3,,3,2,3,32,32,32,255,stdp,4,-2,0.32548764629388816,0.034426216637475374,0.3318918918918919,0.14172474067125523
128,1024,0,3,,3,2,3,32,32,32,99999,rstdp,1,-1,0.28101430429128743,0.010655266801363588,0.23783783783783785,0.04858855146863617
128,1024,0,3,,3,2,3,32,32,32,99999,stdp,1,-1,0.31079323797139147,0.04039171632419699,0.30810810810810807,0.06811668757631725
128,1024,0,3,,3,2,3,32,32,32,99999,rstdp,1,-2,0.2808842652795839,0.007321554361643298,0.20216216216216218,0.037073358269150807
128,1024,0,3,,3,2,3,32,32,32,99999,stdp,1,-2,0.3461638491547464,0.05639196881013198,0.3718918918918919,0.0873872016344269
128,1024,0,3,,3,2,3,32,32,32,99999,rstdp,4,-1,0.27230169050715214,0.0007582512216964061,0.2756756756756757,0.0
128,1024,0,3,,3,2,3,32,32,32,99999,stdp,4,-1,0.3096228868660598,0.01850213410853825,0.2843243243243243,0.016252212300943685
128,1024,0,3,,3,2,3,32,32,32,99999,rstdp,4,-2,0.2720416124837451,0.00031852922532940657,0.2756756756756757,0.0
128,1024,0,3,,3,2,3,32,32,32,99999,stdp,4,-2,0.33875162548764626,0.05223458457319879,0.332972972972973,0.07376744695884101
