fast_threshold,response_cutoff,max_keypoints,n_bins_x,n_bins_y,n_threshold_levels,threshold_max,n_dist_bits,dist_max_m,n_aruco_bins,angular_dead_zone,n_inputs,decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,reward_shift,punish_shift,feedback,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,0,0,False,0.1876674025018396,0.0021780721118469376,0.5956593406593407,0.004010989010989008
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,0,0,True,0.1868727005150846,0.00038263428991909543,0.5946703296703296,0.00203296703296707
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,0,1,False,0.18151582045621778,8.830022075055621e-05,0.5783516483516483,0.007582417582417622
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,0,1,True,0.18322295805739514,0.0010596026490065913,0.5725824175824176,0.0048901098901098505
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,0,2,False,0.1803973509933775,0.005533480500367935,0.5646703296703297,0.002252747252747267
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,0,2,True,0.18292862398822662,0.005798381162619562,0.5461538461538462,0.018901098901098867
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,1,0,False,0.19427520235467255,0.002163355408388523,0.5888461538461538,0.0024725274725274637
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,1,0,True,0.1908903605592347,0.00010301692420898456,0.5902747252747251,0.0004945054945055261
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,1,1,False,0.17137601177336276,0.0007799852832965221,0.5944505494505494,0.0018131868131867623
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,1,1,True,0.18263428991905814,0.0007064017660043942,0.5807142857142857,0.007637362637362699
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,1,2,False,0.18002943340691685,0.003134657836644586,0.5968681318681319,0.0034615384615384603
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,1,2,True,0.1811626195732156,0.004032376747608521,0.5998351648351647,0.00027472527472527375
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,2,0,False,0.21006622516556295,0.0008535688005886638,0.5810439560439561,0.0026923076923076605
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,2,0,True,0.20392935982339955,0.0016041206769683847,0.5848351648351648,0.0008791208791208982
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,2,1,False,0.17568800588668138,0.0007652685798381215,0.598021978021978,0.001098901098901095
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,2,1,True,0.1763355408388521,0.0008830022075055066,0.5910989010989011,0.001208791208791249
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,2,2,False,0.17019867549668874,0.0017512877115526126,0.5969780219780219,0.00060439560439568
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,16,8,255,rstdp,2,2,True,0.17451066961000739,0.00017660044150108467,0.5944505494505494,0.00038461538461537215
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,0,0,False,0.19106696100073586,0.0011920529801324742,0.5990659340659339,0.0004945054945055261
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,0,0,True,0.19174392935982343,0.0003384841795437826,0.599065934065934,0.0007142857142856673
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,0,1,False,0.18557763061074323,0.002325239146431207,0.6015934065934065,0.00016483516483511984
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,0,1,True,0.1859896983075791,0.00017660044150111243,0.603021978021978,0.0004945054945054705
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,0,2,False,0.1889036055923473,0.006887417218543065,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,0,2,True,0.185018395879323,0.00044150110375272555,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,1,0,False,0.19358351729212658,0.002236938925680665,0.5967032967032967,0.0018681318681318393
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,1,0,True,0.19664459161147904,5.8866813833713394e-05,0.5942857142857142,0.0007692307692307443
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,1,1,False,0.18422369389256804,0.00041206769683592437,0.6026373626373626,0.0004395604395603936
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,1,1,True,0.18600441501103754,0.0008388520971302355,0.6022527472527472,0.0007142857142856673
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,1,2,False,0.18557763061074317,0.002030905077262682,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,1,2,True,0.181280353200883,0.003325974981604113,0.6019230769230768,0.00016483516483517535
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,2,0,False,0.2041942604856512,0.0003384841795437826,0.5925824175824176,0.001043956043956018
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,2,0,True,0.20682855040470935,0.0007947019867549643,0.5968681318681319,0.0010439560439560736
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,2,1,False,0.18899190581309788,0.0008241353936718071,0.5960439560439561,0.0012087912087911934
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,2,1,True,0.19171449595290652,0.0013980868285504017,0.597032967032967,0.000989010989010941
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,2,2,False,0.1847829286239882,0.000353200883002211,0.6012637362637363,0.00027472527472532926
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,32,8,255,rstdp,2,2,True,0.18587196467991174,0.00014716703458424185,0.601043956043956,0.0004945054945055261
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,0,0,False,0.18665194996320822,0.00013245033112584126,0.6006593406593406,0.001978021978021993
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,0,0,True,0.19838116261957323,0.0009713024282560628,0.605,0.0012637362637362148
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,0,1,False,0.18594554819720382,0.0018690213392200117,0.6014285714285714,0.00010989010989015391
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,0,1,True,0.19025754231052244,0.0009418690213392339,0.6015934065934065,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,0,2,False,0.19021339220014719,0.0009565857247976484,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,0,2,True,0.1805298013245033,0.005518763796909507,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,1,0,False,0.1951729212656365,0.0015011037527593724,0.5974725274725274,0.0005494505494505475
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,1,0,True,0.20026490066225167,0.0019720382634289962,0.5982417582417582,0.0004395604395603936
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,1,1,False,0.18797645327446652,0.0018395879323031827,0.6008791208791209,0.0004395604395604491
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,1,1,True,0.18987490802060336,0.0010890360559234757,0.6026923076923076,0.0007142857142856673
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,1,2,False,0.1903899926416483,0.0010154525386313479,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,32,64,8,255,rstdp,1,2,True,0.1900809418690213,0.006828550404709338,0.6016483516483516,0.0
