fast_threshold,response_cutoff,max_keypoints,n_bins_x,n_bins_y,n_threshold_levels,threshold_max,n_dist_bits,dist_max_m,n_aruco_bins,angular_dead_zone,n_inputs,decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,dopamine_correct_shift,dopamine_wrong_shift,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.4199963208241353,0.05145327446651937,0.2985576923076923,0.11243131868131873
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.6557947019867549,0.00012877115526133132,0.24059065934065932,0.0008928571428571397
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.37860559234731417,0.08798749080206025,0.3135302197802198,0.04704670329670327
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,128,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.32062178072111847,0.020584988962472434,0.20844780219780223,0.01366758241758241
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,192,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.5607431935246504,0.21850625459896986,0.3378434065934065,0.004326923076923089
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,192,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.5211368653421634,0.12912067696835905,0.3289835164835165,0.07156593406593409
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.4043782192788815,0.08995584988962468,0.2804945054945055,0.08269230769230765
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.32435614422369385,0.048344370860927105,0.2699862637362637,0.025892857142857106
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.37713392200147156,0.007229580573951427,0.3162774725274725,0.045810439560439536
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.5304819720382634,0.10424944812362028,0.26710164835164835,0.05226648351648351
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.3178991905813098,0.01786239882266366,0.21215659340659343,0.010645604395604386
20,0.0,500,4,3,10,100,3,1.0,3,0.15,18,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.32303164091243564,0.018690213392200172,0.3620879120879121,0.033516483516483564
